study_hours,attendance,assignments,quiz_score,final_score,result
7,65,64,30,90.78025266777783,1
4,56,47,96,100.0,1
8,79,38,22,77.72647225994794,1
5,72,87,52,100.0,1
7,48,46,25,67.17763432937922,1
3,82,36,69,89.75157627210558,1
7,93,75,29,88.62303575887779,1
8,87,42,24,74.1675808328656,1
5,78,69,42,99.30950266331944,1
4,68,71,29,67.91151239334864,1
8,81,38,63,88.59200091757536,1
8,94,79,21,83.42366102510027,1
3,65,56,32,50.68421326980959,0
6,74,95,59,100.0,1
5,89,34,21,61.961371229547844,1
2,64,58,84,100.0,1
8,63,66,82,100.0,1
6,52,67,92,100.0,1
2,99,37,36,72.91897541198283,1
5,97,94,28,81.49492663530516,1
1,46,46,94,55.91214195840694,1
6,96,74,34,78.26416942425261,1
9,75,33,43,90.62207829369603,1
1,84,65,57,67.4145852782886,1
3,59,99,54,90.5141538825746,1
7,40,60,68,89.5538621865653,1
4,47,48,88,93.16034725961724,1
9,85,90,81,100.0,1
3,55,83,79,87.7730414938923,1
5,53,68,69,93.70145288711122,1
3,51,48,97,69.08213159424766,1
7,90,68,94,100.0,1
5,62,96,28,65.98041874253977,1
9,54,74,53,100.0,1
7,67,42,95,100.0,1
2,73,87,54,79.48676357913794,1
4,41,49,20,45.73877410203707,0
9,71,90,59,100.0,1
2,62,68,83,70.8597848835693,1
9,61,30,41,69.89854172838484,1
5,90,32,79,100.0,1
2,64,91,83,83.83720869410107,1
4,97,92,91,100.0,1
7,61,54,30,98.69911897723112,1
8,97,85,33,100.0,1
3,97,62,79,86.46535451861777,1
1,61,67,49,63.585079056935605,1
4,88,35,54,94.07871284827682,1
2,91,87,56,89.03620680950867,1
8,81,73,24,100.0,1
4,45,74,97,100.0,1
2,54,61,45,69.98253345953542,1
6,93,74,81,100.0,1
6,82,90,23,83.9334847897622,1
4,99,76,61,95.73050385348452,1
6,76,50,37,84.60452807450301,1
2,72,65,59,70.00684684167388,1
2,47,48,91,79.46053934503004,1
4,92,49,58,78.67654384044016,1
